index,text,created_at,retweet_count
,RT @KQEDnews: Forty-eight percent of San Francisco’s homeless youth are LGBTQ. https://t.co/f637dz1IOF https://t.co/0mfZawQW9Q,2016-07-13 05:34:50,0
,RT @KQEDnews: Forty-eight percent of San Francisco’s homeless youth are LGBTQ. https://t.co/f637dz1IOF https://t.co/0mfZawQW9Q,2016-07-13 05:32:29,0
,RT @KQEDnews: Forty-eight percent of San Francisco’s homeless youth are LGBTQ. https://t.co/f637dz1IOF https://t.co/0mfZawQW9Q,2016-07-13 05:23:24,0
,San Francisco May Ban Homeless Encampments and Then Bus Them Out of the City https://t.co/3pVwTdWyUH via @truthout,2016-07-13 05:22:52,0
,RT @KQEDnews: Forty-eight percent of San Francisco’s homeless youth are LGBTQ. https://t.co/f637dz1IOF https://t.co/0mfZawQW9Q,2016-07-13 05:22:39,0
,RT @KQEDnews: Forty-eight percent of San Francisco’s homeless youth are LGBTQ. https://t.co/f637dz1IOF https://t.co/0mfZawQW9Q,2016-07-13 05:21:58,0
,RT @KQEDnews: Forty-eight percent of San Francisco’s homeless youth are LGBTQ. https://t.co/f637dz1IOF https://t.co/0mfZawQW9Q,2016-07-13 05:20:20,0
,RT @KQEDnews: Forty-eight percent of San Francisco’s homeless youth are LGBTQ. https://t.co/f637dz1IOF https://t.co/0mfZawQW9Q,2016-07-13 05:20:12,0
,"San Francisco bans foam and add another Homeless tent camp proposal
by @lizziejohnsonnn of @SFgate... https://t.co/d1UMBfTbX1",2016-07-13 05:18:10,0
,RT @KQEDnews: Forty-eight percent of San Francisco’s homeless youth are LGBTQ. https://t.co/f637dz1IOF https://t.co/0mfZawQW9Q,2016-07-13 05:14:47,0
,RT @KQEDnews: Forty-eight percent of San Francisco’s homeless youth are LGBTQ. https://t.co/f637dz1IOF https://t.co/0mfZawQW9Q,2016-07-13 05:00:17,0
,RT @KQEDnews: Forty-eight percent of San Francisco’s homeless youth are LGBTQ. https://t.co/f637dz1IOF https://t.co/0mfZawQW9Q,2016-07-13 04:52:55,0
,RT @KQEDnews: Forty-eight percent of San Francisco’s homeless youth are LGBTQ. https://t.co/f637dz1IOF https://t.co/0mfZawQW9Q,2016-07-13 04:28:33,0
,RT @KQEDnews: Forty-eight percent of San Francisco’s homeless youth are LGBTQ. https://t.co/f637dz1IOF https://t.co/0mfZawQW9Q,2016-07-13 04:27:19,0
,"RT @willmenaker: Given the huge popularity of Pokémon Go, couldn't someone develop a similar game to track and catch San Francisco's homele…",2016-07-13 04:16:08,0
,RT @KQEDnews: Forty-eight percent of San Francisco’s homeless youth are LGBTQ. https://t.co/f637dz1IOF https://t.co/0mfZawQW9Q,2016-07-13 04:15:31,0
,RT @ev: “To The City And People of San Francisco” by SF Homeless Project https://t.co/O5dWa7yqGI,2016-07-13 04:09:46,0
,RT @KQEDnews: Forty-eight percent of San Francisco’s homeless youth are LGBTQ. https://t.co/f637dz1IOF https://t.co/0mfZawQW9Q,2016-07-13 04:01:44,0
,RT @KQEDnews: Forty-eight percent of San Francisco’s homeless youth are LGBTQ. https://t.co/f637dz1IOF https://t.co/0mfZawQW9Q,2016-07-13 03:41:25,0
,RT @iva_nm: Why San Francisco's journalists are investigating a problem facing many cities—and possible solutions. https://t.co/fWVR0PQgOR,2016-07-13 03:39:19,0
,Forty-eight percent of San Francisco’s homeless youth are LGBTQ. https://t.co/f637dz1IOF https://t.co/0mfZawQW9Q,2016-07-13 03:30:21,16
,"No address = blocked vote = Discrimination Seen, not heard: homeless people absent from election even as ranks grow https://t.co/eLZDYWKdMp",2016-07-13 03:04:51,0
,RT @truthout: A #SanFrancisco ballot measure would allow the complete removal of #homeless encampments with only 24 hours notice. https://t…,2016-07-13 02:43:17,0
